date,close,ma50,ma200,distance50,distance200
2025-03-19,138000,135106.0,136703.5,102.14,100.95
2025-03-20,139500,135448.0,136620.0,102.99,102.11
2025-03-21,138500,135772.0,136521.5,102.01,101.45
2025-03-24,137600,135906.0,136427.0,101.25,100.86
2025-03-25,137600,136122.0,136317.5,101.09,100.94
2025-03-26,139200,136282.0,136215.5,102.14,102.19
2025-03-27,137100,136440.0,136110.5,100.48,100.73
2025-03-28,135900,136572.0,136007.0,99.51,99.92
2025-03-31,129100,136622.0,135877.5,94.49,95.01
2025-04-01,128700,136674.0,135725.5,94.17,94.82
2025-04-02,131700,136846.0,135618.0,96.24,97.11
2025-04-03,120500,136784.0,135462.0,88.1,88.95
2025-04-04,121200,136644.0,135313.0,88.7,89.57
2025-04-07,114700,136406.0,135132.0,84.09,84.88
2025-04-08,112800,136132.0,134947.5,82.86,83.59
2025-04-09,109500,135712.0,134739.0,80.69,81.27
2025-04-10,119000,135542.0,134594.0,87.8,88.41
2025-04-11,117800,135336.0,134424.5,87.04,87.63
2025-04-14,119700,135048.0,134269.5,88.64,89.15
2025-04-15,119700,134820.0,134110.0,88.79,89.26
2025-04-16,120600,134596.0,133953.0,89.6,90.03
2025-04-17,120800,134392.0,133800.5,89.89,90.28
2025-04-18,121000,134120.0,133658.5,90.22,90.53
2025-04-21,121200,133774.0,133519.5,90.6,90.77
2025-04-22,119400,133280.0,133364.0,89.59,89.53
2025-04-23,122400,132834.0,133218.5,92.15,91.88
2025-04-24,122000,132384.0,133056.0,92.16,91.69
2025-04-25,123000,131940.0,132881.0,93.22,92.56
2025-04-28,121300,131402.0,132707.5,92.31,91.4
2025-04-29,121800,130890.0,132547.5,93.06,91.89
2025-04-30,117700,130338.0,132361.5,90.3,88.92
2025-05-02,117600,129796.0,132137.0,90.6,89.0
2025-05-07,118300,129284.0,131876.0,91.5,89.71
2025-05-08,117800,128776.0,131648.5,91.48,89.48
2025-05-09,117200,128246.0,131416.0,91.39,89.18
2025-05-12,125800,127920.0,131223.5,98.34,95.87
2025-05-13,126000,127618.0,131029.0,98.73,96.16
2025-05-14,126300,127294.0,130836.5,99.22,96.53
2025-05-15,122200,127038.0,130645.5,96.19,93.54
2025-05-16,122600,126754.0,130398.5,96.72,94.02
2025-05-19,120700,126454.0,130138.5,95.45,92.75
2025-05-20,119400,126124.0,129876.0,94.67,91.93
2025-05-21,120700,125840.0,129639.5,95.92,93.1
2025-05-22,118800,125558.0,129431.0,94.62,91.79
2025-05-23,117300,125188.0,129218.0,93.7,90.78
2025-05-26,121100,124864.0,129026.0,96.99,93.86
2025-05-27,118800,124478.0,128833.5,95.44,92.21
2025-05-28,123300,124196.0,128675.5,99.28,95.82
2025-05-29,124000,123880.0,128516.5,100.1,96.49
2025-05-30,122200,123582.0,128357.5,98.88,95.2
2025-06-02,120800,123238.0,128163.5,98.02,94.25
2025-06-04,121700,122882.0,127974.5,99.04,95.1
2025-06-05,132000,122752.0,127881.5,107.53,103.22
2025-06-09,130000,122600.0,127840.5,106.04,101.69
2025-06-10,129800,122444.0,127795.0,106.01,101.57
2025-06-11,132400,122308.0,127732.5,108.25,103.65
2025-06-12,131400,122194.0,127673.0,107.53,102.92
2025-06-13,127400,122024.0,127592.5,104.41,99.85
2025-06-16,126900,121980.0,127498.0,104.03,99.53
2025-06-17,130700,122020.0,127444.0,107.11,102.55
2025-06-18,133000,122046.0,127398.0,108.98,104.4
2025-06-19,130300,122242.0,127319.0,106.59,102.34
2025-06-20,133300,122484.0,127266.0,108.83,104.74
2025-06-23,130300,122796.0,127189.0,106.11,102.45
2025-06-24,136700,123274.0,127144.0,110.89,107.52
2025-06-25,139100,123866.0,127111.0,112.3,109.43
2025-06-26,138900,124264.0,127090.0,111.78,109.29
2025-06-27,135500,124618.0,127046.5,108.73,106.65
2025-06-30,134700,124918.0,127000.5,107.83,106.06
2025-07-01,135200,125228.0,126963.5,107.96,106.49
2025-07-02,134500,125506.0,126932.5,107.17,105.96
2025-07-03,142300,125936.0,126930.0,112.99,112.11
2025-07-04,138600,126288.0,126897.0,109.75,109.22
2025-07-07,138900,126642.0,126884.0,109.68,109.47
2025-07-08,136700,126988.0,126893.0,107.65,107.73
2025-07-09,135400,127248.0,126901.5,106.41,106.7
2025-07-10,137100,127550.0,126935.0,107.49,108.01
2025-07-11,137100,127832.0,126956.0,107.25,107.99
2025-07-14,137500,128156.0,126999.0,107.29,108.27
2025-07-15,139400,128508.0,127064.0,108.48,109.71
2025-07-16,138000,128914.0,127098.5,107.05,108.58
2025-07-17,137800,129318.0,127134.0,106.56,108.39
2025-07-18,138700,129726.0,127174.0,106.92,109.06
2025-07-21,137300,130116.0,127195.5,105.52,107.94
2025-07-22,134500,130462.0,127185.0,103.1,105.75
2025-07-23,135900,130664.0,127173.5,104.01,106.86
2025-07-24,135100,130846.0,127170.5,103.25,106.24
2025-07-25,134900,131018.0,127144.5,102.96,106.1
2025-07-28,138500,131344.0,127142.0,105.45,108.93
2025-07-29,137400,131640.0,127166.5,104.38,108.05
2025-07-30,151900,132264.0,127275.0,114.85,119.35
2025-07-31,148700,132850.0,127369.0,111.93,116.75
2025-08-01,143300,133302.0,127427.5,107.5,112.46
2025-08-04,150300,133932.0,127530.0,112.22,117.85
2025-08-05,155700,134700.0,127654.5,115.59,121.97
2025-08-06,155600,135390.0,127783.5,114.93,121.77
2025-08-07,155300,136120.0,127905.5,114.09,121.42
2025-08-08,160100,136856.0,128058.5,116.98,125.02
2025-08-11,159800,137572.0,128236.5,116.16,124.61
2025-08-12,157800,138284.0,128404.5,114.11,122.89
2025-08-13,162900,139126.0,128604.0,117.09,126.67
2025-08-14,162600,139944.0,128802.0,116.19,126.24
2025-08-18,158200,140468.0,128991.0,112.62,122.64
2025-08-19,159000,141048.0,129172.5,112.73,123.09
2025-08-20,156500,141582.0,129359.5,110.54,120.98
2025-08-21,154800,142030.0,129548.5,108.99,119.49
2025-08-22,154700,142496.0,129716.0,108.56,119.26
2025-08-25,157600,143100.0,129903.0,110.13,121.32
2025-08-26,159500,143752.0,130112.0,110.95,122.59
2025-08-27,161300,144364.0,130326.5,111.73,123.77
2025-08-28,161900,144942.0,130550.5,111.7,124.01
2025-08-29,160500,145546.0,130758.0,110.27,122.75
2025-09-01,162200,146124.0,130973.5,111.0,123.84
2025-09-02,169900,146916.0,131232.0,115.64,129.47
2025-09-03,174200,147666.0,131515.0,117.97,132.46
2025-09-04,178400,148452.0,131823.0,120.17,135.33
2025-09-05,178200,149238.0,132152.0,119.41,134.84
2025-09-08,178700,150102.0,132490.5,119.05,134.88
2025-09-09,180300,151014.0,132858.0,119.39,135.71
2025-09-10,180500,151920.0,133228.5,118.81,135.48
2025-09-11,188000,152990.0,133618.0,122.88,140.7
2025-09-12,190400,153952.0,134007.5,123.67,142.08
2025-09-15,189000,154960.0,134397.0,121.97,140.63
2025-09-16,192900,156040.0,134806.0,123.62,143.09
2025-09-17,192100,157148.0,135208.5,122.24,142.08
2025-09-18,194500,158330.0,135621.0,122.84,143.41
2025-09-19,197700,159542.0,136043.0,123.92,145.32
2025-09-22,207000,160940.0,136503.5,128.62,151.64
2025-09-23,204000,162270.0,136964.5,125.72,148.94
2025-09-24,201500,163512.0,137412.0,123.23,146.64
2025-09-25,200000,164752.0,137872.0,121.39,145.06
2025-09-26,191700,165830.0,138294.5,115.6,138.62
2025-09-29,197600,167008.0,138736.0,118.32,142.43
2025-09-30,193500,168132.0,139172.5,115.09,139.04
2025-10-01,193300,169308.0,139591.5,114.17,138.48
2025-10-02,195800,170506.0,140018.5,114.83,139.84
2025-10-10,210500,172014.0,140543.0,122.37,149.78
2025-10-13,203500,173386.0,140979.0,117.37,144.35
2025-10-14,198200,174580.0,141373.5,113.53,140.2
2025-10-15,200000,175832.0,141770.0,113.74,141.07
