date,close,ma50,ma200,distance50,distance200
2025-06-05,59100,56354.0,58817.5,104.87,100.48
2025-06-09,59800,56340.0,58759.5,106.14,101.77
2025-06-10,59200,56328.0,58693.0,105.1,100.86
2025-06-11,59900,56298.0,58619.0,106.4,102.19
2025-06-12,59500,56252.0,58549.5,105.77,101.62
2025-06-13,58300,56214.0,58467.5,103.71,99.71
2025-06-16,57200,56202.0,58376.0,101.78,97.99
2025-06-17,58100,56188.0,58286.0,103.4,99.68
2025-06-18,59800,56208.0,58199.0,106.39,102.75
2025-06-19,59200,56240.0,58094.0,105.26,101.9
2025-06-20,59500,56308.0,58000.0,105.67,102.59
2025-06-23,58000,56404.0,57895.5,102.83,100.18
2025-06-24,60500,56544.0,57806.5,107.0,104.66
2025-06-25,61300,56710.0,57721.5,108.09,106.2
2025-06-26,60200,56786.0,57634.0,106.01,104.45
2025-06-27,60800,56898.0,57557.5,106.86,105.63
2025-06-30,59800,56970.0,57477.5,104.97,104.04
2025-07-01,60200,57042.0,57396.5,105.54,104.88
2025-07-02,60800,57164.0,57330.5,106.36,106.05
2025-07-03,63800,57338.0,57278.0,111.27,111.39
2025-07-04,63300,57498.0,57222.5,110.09,110.62
2025-07-07,61700,57624.0,57168.5,107.07,107.93
2025-07-08,61400,57752.0,57125.5,106.32,107.48
2025-07-09,60400,57846.0,57082.5,104.42,105.81
2025-07-10,61000,57952.0,57043.0,105.26,106.94
2025-07-11,62600,58090.0,57018.5,107.76,109.79
2025-07-14,62500,58224.0,57000.0,107.34,109.65
2025-07-15,63700,58382.0,56994.0,109.11,111.77
2025-07-16,64700,58566.0,56986.0,110.47,113.54
2025-07-17,66700,58814.0,56997.5,113.41,117.02
2025-07-18,67100,59064.0,57017.5,113.61,117.68
2025-07-21,67800,59328.0,57041.5,114.28,118.86
2025-07-22,66000,59552.0,57058.5,110.83,115.67
2025-07-23,66400,59728.0,57074.5,111.17,116.34
2025-07-24,66000,59910.0,57093.5,110.17,115.6
2025-07-25,65900,60080.0,57099.5,109.69,115.41
2025-07-28,70400,60342.0,57130.5,116.67,123.23
2025-07-29,70600,60618.0,57176.0,116.47,123.48
2025-07-30,72600,60954.0,57232.5,119.11,126.85
2025-07-31,71400,61264.0,57286.5,116.54,124.64
2025-08-01,68900,61528.0,57326.0,111.98,120.19
2025-08-04,69700,61828.0,57373.0,112.73,121.49
2025-08-05,69900,62142.0,57428.0,112.48,121.72
2025-08-06,68800,62424.0,57475.5,110.21,119.7
2025-08-07,70500,62756.0,57524.0,112.34,122.56
2025-08-08,71800,63074.0,57578.0,113.83,124.7
2025-08-11,71000,63372.0,57635.5,112.04,123.19
2025-08-12,71100,63670.0,57692.5,111.67,123.24
2025-08-13,71900,63972.0,57756.0,112.39,124.49
2025-08-14,71600,64248.0,57819.0,111.44,123.83
2025-08-18,70000,64466.0,57880.5,108.58,120.94
2025-08-19,70000,64670.0,57935.0,108.24,120.83
2025-08-20,70500,64896.0,58004.5,108.64,121.54
2025-08-21,70600,65110.0,58078.0,108.43,121.56
2025-08-22,71400,65348.0,58144.5,109.26,122.8
2025-08-25,71500,65612.0,58204.0,108.97,122.84
2025-08-26,70300,65874.0,58260.0,106.72,120.67
2025-08-27,70600,66124.0,58317.0,106.77,121.06
2025-08-28,69600,66320.0,58373.5,104.95,119.23
2025-08-29,69700,66530.0,58428.5,104.76,119.29
2025-09-01,67600,66692.0,58478.5,101.36,115.6
2025-09-02,69100,66914.0,58537.5,103.27,118.04
2025-09-03,69800,67100.0,58599.0,104.02,119.11
2025-09-04,70100,67276.0,58664.5,104.2,119.49
2025-09-05,69500,67462.0,58737.0,103.02,118.32
2025-09-08,70100,67648.0,58822.5,103.62,119.17
2025-09-09,71500,67882.0,58927.0,105.33,121.34
2025-09-10,72600,68130.0,59040.5,106.56,122.97
2025-09-11,73400,68382.0,59140.0,107.34,124.11
2025-09-12,75400,68614.0,59233.5,109.89,127.29
2025-09-15,76500,68878.0,59334.5,111.07,128.93
2025-09-16,79400,69232.0,59455.0,114.69,133.55
2025-09-17,78200,69568.0,59564.0,112.41,131.29
2025-09-18,80500,69970.0,59686.5,115.05,134.87
2025-09-19,79700,70344.0,59795.5,113.3,133.29
2025-09-22,83500,70762.0,59921.5,118.0,139.35
2025-09-23,84700,71206.0,60063.5,118.95,141.02
2025-09-24,85400,71640.0,60213.0,119.21,141.83
2025-09-25,86100,72068.0,60372.5,119.47,142.61
2025-09-26,83300,72400.0,60521.0,115.06,137.64
2025-09-29,84200,72742.0,60674.0,115.75,138.77
2025-09-30,83900,73064.0,60828.0,114.83,137.93
2025-10-01,86000,73464.0,60989.5,117.06,141.01
2025-10-02,89000,73916.0,61164.0,120.41,145.51
2025-10-10,94400,74484.0,61369.0,126.74,153.82
2025-10-13,93300,75032.0,61565.5,124.35,151.55
2025-10-14,91600,75456.0,61753.5,121.4,148.33
2025-10-15,95000,75944.0,61949.0,125.09,153.35
2025-10-16,97700,76446.0,62157.0,127.8,157.18
2025-10-17,97900,76976.0,62368.5,127.18,156.97
2025-10-20,98100,77560.0,62588.0,126.48,156.74
2025-10-21,97500,78116.0,62801.0,124.81,155.25
2025-10-22,98600,78690.0,63028.5,125.3,156.44
2025-10-23,96500,79244.0,63246.0,121.78,152.58
2025-10-24,98800,79810.0,63472.5,123.79,155.66
2025-10-27,102000,80414.0,63710.5,126.84,160.1
2025-10-28,99500,80984.0,63940.0,122.86,155.61
2025-10-29,100500,81572.0,64174.0,123.2,156.61
2025-10-30,104100,82216.0,64428.5,126.62,161.57
2025-10-31,107500,82934.0,64699.0,129.62,166.15
2025-11-03,111100,83756.0,64982.5,132.65,170.97
2025-11-04,104900,84454.0,65227.5,124.21,160.82
2025-11-05,100600,85056.0,65453.5,118.28,153.7
2025-11-06,99200,85628.0,65663.0,115.85,151.07
2025-11-07,97900,86158.0,65872.0,113.63,148.62
2025-11-10,100600,86740.0,66098.5,115.98,152.2
2025-11-11,103500,87404.0,66345.5,118.42,156.0
2025-11-12,103100,88054.0,66591.5,117.09,154.82
2025-11-13,102800,88718.0,66837.0,115.87,153.81
2025-11-14,97200,89268.0,67051.5,108.89,144.96
2025-11-17,100600,89928.0,67286.0,111.87,149.51
2025-11-18,97800,90502.0,67508.0,108.06,144.87
2025-11-19,96500,91036.0,67723.0,106.0,142.49
2025-11-20,100600,91646.0,67954.5,109.77,148.04
2025-11-21,94800,92152.0,68160.0,102.87,139.08
2025-11-24,96700,92684.0,68375.0,104.33,141.43
2025-11-25,99300,93240.0,68609.5,106.5,144.73
2025-11-26,102800,93844.0,68868.5,109.54,149.27
2025-11-27,103500,94446.0,69122.5,109.59,149.73
2025-11-28,100500,94948.0,69360.5,105.85,144.9
2025-12-01,100800,95434.0,69594.5,105.62,144.84
2025-12-02,103400,95914.0,69843.0,107.8,148.05
2025-12-03,104500,96440.0,70087.5,108.36,149.1
2025-12-04,105100,96932.0,70334.5,108.43,149.43
2025-12-05,108400,97506.0,70597.5,111.17,153.55
2025-12-08,109500,98026.0,70866.0,111.71,154.52
2025-12-09,108400,98500.0,71128.0,110.05,152.4
2025-12-10,108000,98952.0,71388.0,109.14,151.29
2025-12-11,107300,99376.0,71640.0,107.97,149.78
2025-12-12,108900,99888.0,71891.0,109.02,151.48
2025-12-15,104800,100300.0,72123.0,104.49,145.31
2025-12-16,102800,100678.0,72346.0,102.11,142.09
2025-12-17,107900,101116.0,72599.0,106.71,148.62
2025-12-18,107600,101488.0,72851.0,106.02,147.7
2025-12-19,106300,101726.0,73099.5,104.5,145.42
2025-12-22,110500,102070.0,73370.5,108.26,150.61
2025-12-23,111500,102468.0,73655.5,108.81,151.38
2025-12-24,111100,102790.0,73938.5,108.08,150.26
2025-12-26,117000,103176.0,74253.5,113.4,157.57
2025-12-29,119500,103608.0,74579.5,115.34,160.23
2025-12-30,119900,104044.0,74910.5,115.24,160.06
2026-01-02,128500,104664.0,75284.5,122.77,170.69
2026-01-05,138100,105454.0,75707.0,130.96,182.41
2026-01-06,138900,106302.0,76127.0,130.67,182.46
2026-01-07,141000,107146.0,76558.5,131.6,184.17
2026-01-08,138800,107882.0,76979.0,128.66,180.31
2026-01-09,139000,108672.0,77386.0,127.91,179.62
2026-01-12,138800,109438.0,77792.0,126.83,178.42
2026-01-13,137600,110108.0,78187.5,124.97,175.99
2026-01-14,140300,110764.0,78588.0,126.67,178.53
2026-01-15,143900,111420.0,78999.0,129.15,182.15
2026-01-16,148900,112300.0,79441.0,132.59,187.43
2026-01-19,149300,113274.0,79888.5,131.8,186.89
2026-01-20,145200,114194.0,80307.5,127.15,180.81
2026-01-21,149500,115226.0,80746.0,129.75,185.15
2026-01-22,152300,116260.0,81206.5,131.0,187.55
2026-01-23,152100,117232.0,81678.0,129.74,186.22
2026-01-26,152100,118212.0,82144.5,128.67,185.16
2026-01-27,159500,119346.0,82648.0,133.65,192.99
2026-01-28,162400,120650.0,83172.0,134.6,195.26
2026-01-29,160700,121852.0,83695.0,131.88,192.01
2026-01-30,160500,123106.0,84231.5,130.38,190.55
2026-02-02,150400,124184.0,84716.0,121.11,177.53
2026-02-03,167500,125522.0,85288.5,133.44,196.39
2026-02-04,169100,127008.0,85852.0,133.14,196.97
2026-02-05,159300,128260.0,86372.5,124.2,184.43
2026-02-06,158600,129446.0,86884.5,122.52,182.54
2026-02-09,166400,130718.0,87433.5,127.3,190.32
2026-02-10,165800,131964.0,87989.0,125.64,188.43
2026-02-11,167800,133310.0,88552.5,125.87,189.49
2026-02-12,178600,134866.0,89169.0,132.43,200.29
2026-02-13,181200,136422.0,89798.0,132.82,201.79
2026-02-19,190000,138132.0,90473.0,137.55,210.01
2026-02-20,190100,139832.0,91145.0,135.95,208.57
2026-02-23,193000,141524.0,91831.5,136.37,210.17
2026-02-24,200000,143334.0,92553.0,139.53,216.09
2026-02-25,203500,145236.0,93291.5,140.12,218.13
2026-02-26,218000,147436.0,94102.5,147.86,231.66
2026-02-27,216500,149620.0,94907.5,144.7,228.12
2026-03-03,195100,151344.0,95611.5,128.91,204.05
2026-03-04,172200,152692.0,96199.5,112.78,179.0
2026-03-05,191600,154468.0,96884.5,124.04,197.76
2026-03-06,188200,156074.0,97551.5,120.58,192.92
2026-03-09,173500,157392.0,98131.0,110.23,176.8
2026-03-10,187900,159024.0,98786.0,118.16,190.21
2026-03-11,190000,160614.0,99449.0,118.3,191.05
2026-03-12,187900,162142.0,100102.0,115.89,187.71
2026-03-13,183500,163590.0,100735.5,112.17,182.16
2026-03-16,188700,165024.0,101400.0,114.35,186.09
2026-03-17,193900,166512.0,102090.0,116.45,189.93
2026-03-18,208500,168284.0,102854.0,123.9,202.71
2026-03-19,200500,169724.0,103583.0,118.13,193.56
2026-03-20,199400,170950.0,104309.0,116.64,191.16
2026-03-23,186300,171898.0,104967.0,108.38,177.48
2026-03-24,189700,172872.0,105646.0,109.73,179.56
2026-03-25,189000,173876.0,106311.5,108.7,177.78
2026-03-26,180100,174698.0,106931.5,103.09,168.43
2026-03-27,179700,175516.0,107549.0,102.38,167.09
2026-03-30,176300,176290.0,108146.5,100.01,163.02
2026-03-31,167200,176828.0,108693.5,94.56,153.83
2026-04-01,189600,177742.0,109346.0,106.67,173.39
2026-04-02,178400,178332.0,109939.0,100.04,162.27
2026-04-03,186200,179070.0,110574.0,103.98,168.39
2026-04-06,193100,180028.0,111240.0,107.26,173.59
2026-04-07,196500,180968.0,111925.0,108.58,175.56
2026-04-08,210500,182132.0,112686.0,115.58,186.8
2026-04-09,204000,183170.0,113420.0,111.37,179.86
2026-04-10,206000,184248.0,114159.5,111.81,180.45
2026-04-13,201000,185078.0,114865.5,108.6,174.99
2026-04-14,206500,185960.0,115602.0,111.05,178.63
2026-04-15,211000,186966.0,116359.5,112.85,181.33
2026-04-16,217500,188106.0,117157.0,115.63,185.65
2026-04-17,216000,189418.0,117934.5,114.03,183.15
2026-04-20,214500,190358.0,118700.5,112.68,180.71
2026-04-21,219000,191356.0,119494.5,114.45,183.27
2026-04-22,217500,192520.0,120278.0,112.98,180.83
2026-04-23,224500,193838.0,121101.5,115.82,185.38
2026-04-24,219500,194900.0,121898.0,112.62,180.07
2026-04-27,224500,196074.0,122716.5,114.5,182.94
2026-04-28,222000,197158.0,123507.5,112.6,179.75
2026-04-29,226000,198106.0,124321.0,114.08,181.79
2026-04-30,220500,198892.0,125115.0,110.86,176.24
2026-05-04,232500,199742.0,125970.5,116.4,184.57
2026-05-06,266000,201260.0,126998.5,132.17,209.45
2026-05-07,271500,202830.0,128051.0,133.86,212.02
2026-05-08,268500,204200.0,129080.5,131.49,208.01
2026-05-11,285500,205840.0,130195.5,138.7,219.29
2026-05-12,279000,207060.0,131272.0,134.74,212.54
2026-05-13,284000,208410.0,132368.5,136.27,214.55
2026-05-14,296000,210428.0,133515.0,140.67,221.7
2026-05-15,270500,212394.0,134532.0,127.36,201.07
2026-05-18,281000,214182.0,135598.0,131.2,207.23
2026-05-19,275500,215928.0,136645.5,127.59,201.62
2026-05-20,276000,217978.0,137693.5,126.62,200.45
2026-05-21,299500,220210.0,138861.0,136.01,215.68
2026-05-22,292500,222260.0,139994.0,131.6,208.94
2026-05-26,299000,224482.0,141137.0,133.2,211.85
2026-05-27,307000,226952.0,142319.0,135.27,215.71
2026-05-28,299500,229168.0,143453.5,130.69,208.78
2026-05-29,317000,231630.0,144681.5,136.86,219.1
2026-06-01,349000,234440.0,146082.0,148.87,238.91
2026-06-02,360500,237640.0,147536.0,151.7,244.35
2026-06-04,351500,240682.0,148944.0,146.04,235.99
2026-06-05,329000,243536.0,150245.0,135.09,218.98
2026-06-08,295500,245652.0,151370.0,120.29,195.22
2026-06-09,322000,248312.0,152621.0,129.68,210.98
2026-06-10,302500,250760.0,153778.5,120.63,196.71
2026-06-11,299000,253146.0,154918.0,118.11,193.01
2026-06-12,322500,256070.0,156171.0,125.94,206.5
2026-06-15,337000,259466.0,157498.0,129.88,213.97
2026-06-16,343000,262534.0,158863.0,130.65,215.91
2026-06-17,346500,265896.0,160245.5,130.31,216.23
2026-06-18,362500,269422.0,161705.5,134.55,224.17
2026-06-19,354000,272640.0,163122.5,129.84,217.01
2026-06-22,353500,275780.0,164533.0,128.18,214.85
2026-06-23,310000,277770.0,165725.5,111.6,187.06
2026-06-24,340500,280500.0,167076.5,121.39,203.8
2026-06-25,358500,283550.0,168516.0,126.43,212.74
2026-06-26,339500,286320.0,169865.5,118.57,199.86
2026-06-29,323000,288650.0,171132.0,111.9,188.74
