date,close,ma50,ma200,distance50,distance200
2025-09-08,3219.59,3175.0,2726.48,101.4,118.09
2025-09-09,3260.05,3178.77,2730.69,102.56,119.39
2025-09-10,3314.53,3183.27,2735.17,104.12,121.18
2025-09-11,3344.2,3188.65,2739.81,104.88,122.06
2025-09-12,3395.54,3194.24,2744.44,106.3,123.72
2025-09-15,3407.31,3201.3,2749.11,106.44,123.94
2025-09-16,3449.62,3209.1,2753.95,107.49,125.26
2025-09-17,3413.4,3215.07,2758.62,106.17,123.74
2025-09-18,3461.3,3221.62,2763.42,107.44,125.25
2025-09-19,3445.24,3226.86,2767.97,106.77,124.47
2025-09-22,3468.65,3232.72,2772.71,107.3,125.1
2025-09-23,3486.19,3238.4,2777.63,107.65,125.51
2025-09-24,3472.14,3243.54,2782.46,107.05,124.79
2025-09-25,3471.11,3249.23,2787.54,106.83,124.52
2025-09-26,3386.05,3253.11,2792.2,104.09,121.27
2025-09-29,3431.21,3257.97,2796.85,105.32,122.68
2025-09-30,3424.6,3262.25,2801.66,104.98,122.23
2025-10-01,3455.83,3267.97,2806.73,105.75,123.13
2025-10-02,3549.21,3275.27,2812.33,108.36,126.2
2025-10-10,3610.6,3283.68,2818.58,109.96,128.1
2025-10-13,3584.55,3291.45,2824.42,108.9,126.91
2025-10-14,3561.81,3298.49,2830.01,107.98,125.86
2025-10-15,3657.28,3307.03,2835.89,110.59,128.96
2025-10-16,3748.37,3316.91,2842.16,113.01,131.88
2025-10-17,3748.89,3326.97,2848.46,112.68,131.61
2025-10-20,3814.69,3340.88,2855.25,114.18,133.6
2025-10-21,3823.84,3354.4,2861.94,113.99,133.61
2025-10-22,3883.68,3368.12,2869.18,115.31,135.36
2025-10-23,3845.56,3381.06,2876.39,113.74,133.69
2025-10-24,3941.59,3395.34,2883.89,116.09,136.68
2025-10-27,4042.83,3412.0,2891.9,118.49,139.8
2025-10-28,4010.41,3428.07,2899.8,116.99,138.3
2025-10-29,4081.15,3445.9,2908.18,118.43,140.33
2025-10-30,4086.89,3463.15,2916.62,118.01,140.12
2025-10-31,4107.5,3480.78,2925.16,118.01,140.42
2025-11-03,4221.87,3501.68,2934.06,120.57,143.89
2025-11-04,4121.74,3521.08,2942.23,117.06,140.09
2025-11-05,4004.42,3538.57,2949.79,113.16,135.75
2025-11-06,4026.45,3556.26,2957.32,113.22,136.15
2025-11-07,3953.76,3571.96,2964.48,110.69,133.37
2025-11-10,4073.24,3589.23,2972.26,113.49,137.04
2025-11-11,4106.39,3607.77,2980.35,113.82,137.78
2025-11-12,4150.39,3627.03,2988.61,114.43,138.87
2025-11-13,4170.63,3646.52,2996.98,114.37,139.16
2025-11-14,4011.57,3663.03,3004.4,109.52,133.52
2025-11-17,4089.25,3681.96,3012.23,111.06,135.75
2025-11-18,3953.62,3697.58,3019.4,106.92,130.94
2025-11-19,3929.51,3712.48,3026.46,105.85,129.84
2025-11-20,4004.85,3728.56,3033.75,107.41,132.01
2025-11-21,3853.26,3741.53,3040.43,102.99,126.73
2025-11-24,3846.06,3754.06,3046.98,102.45,126.23
2025-11-25,3857.78,3766.01,3053.68,102.44,126.33
2025-11-26,3960.87,3778.94,3061.22,104.81,129.39
2025-11-27,3986.91,3791.79,3068.74,105.15,129.92
2025-11-28,3926.59,3802.41,3075.83,103.27,127.66
2025-12-01,3920.37,3812.67,3082.75,102.82,127.17
2025-12-02,3994.93,3823.58,3090.11,104.48,129.28
2025-12-03,4036.3,3836.04,3097.69,105.22,130.3
2025-12-04,4028.51,3847.38,3105.14,104.71,129.74
2025-12-05,4100.05,3860.48,3112.89,106.21,131.71
2025-12-08,4154.85,3874.2,3120.75,107.24,133.14
2025-12-09,4143.55,3887.35,3128.52,106.59,132.44
2025-12-10,4135.0,3900.61,3136.14,106.01,131.85
2025-12-11,4110.62,3913.4,3143.56,105.04,130.76
2025-12-12,4167.16,3929.02,3151.04,106.06,132.25
2025-12-15,4090.59,3942.21,3158.22,103.76,129.52
2025-12-16,3999.13,3953.7,3164.94,101.15,126.36
2025-12-17,4056.41,3965.71,3172.0,102.29,127.88
2025-12-18,3994.51,3974.62,3178.82,100.5,125.66
2025-12-19,4020.55,3982.81,3185.72,100.95,126.21
2025-12-22,4105.93,3993.24,3193.14,102.82,128.59
2025-12-23,4117.32,4004.35,3201.06,102.82,128.62
2025-12-24,4108.62,4013.38,3208.96,102.37,128.04
2025-12-26,4129.68,4021.01,3216.81,102.7,128.38
2025-12-29,4220.56,4030.44,3225.04,104.72,130.87
2025-12-30,4214.17,4038.43,3233.29,104.35,130.34
2026-01-02,4309.63,4048.14,3241.99,106.46,132.93
2026-01-05,4457.52,4059.62,3251.59,109.8,137.09
2026-01-06,4525.48,4073.22,3261.34,111.1,138.76
2026-01-07,4551.06,4085.41,3271.23,111.4,139.12
2026-01-08,4552.37,4095.6,3281.16,111.15,138.74
2026-01-09,4586.32,4107.12,3291.03,111.67,139.36
2026-01-12,4624.79,4117.99,3301.1,112.31,140.1
