date,close
2024-08-30,74300
2024-09-02,74400
2024-09-03,72500
2024-09-04,70000
2024-09-05,69000
2024-09-06,68900
2024-09-09,67500
2024-09-10,66200
2024-09-11,64900
2024-09-12,66300
2024-09-13,64400
2024-09-19,63100
2024-09-20,63000
2024-09-23,62600
2024-09-24,63200
2024-09-25,62200
2024-09-26,64700
2024-09-27,64200
2024-09-30,61500
2024-10-02,61300
2024-10-04,60600
2024-10-07,61000
2024-10-08,60300
2024-10-10,58900
2024-10-11,59300
2024-10-14,60800
2024-10-15,61000
2024-10-16,59500
2024-10-17,59700
2024-10-18,59200
2024-10-21,59000
2024-10-22,57700
2024-10-23,59100
2024-10-24,56600
2024-10-25,55900
2024-10-28,58100
2024-10-29,59600
2024-10-30,59100
2024-10-31,59200
2024-11-01,58300
2024-11-04,58700
2024-11-05,57600
2024-11-06,57300
2024-11-07,57500
2024-11-08,57000
2024-11-11,55000
2024-11-12,53000
2024-11-13,50600
2024-11-14,49900
2024-11-15,53500
2024-11-18,56700
2024-11-19,56300
2024-11-20,55300
2024-11-21,56400
2024-11-22,56000
2024-11-25,57900
2024-11-26,58300
2024-11-27,56300
2024-11-28,55500
2024-11-29,54200
2024-12-02,53600
2024-12-03,53600
2024-12-04,53100
2024-12-05,53700
2024-12-06,54100
2024-12-09,53400
2024-12-10,54000
2024-12-11,54000
2024-12-12,55900
2024-12-13,56100
2024-12-16,55600
2024-12-17,54200
2024-12-18,54900
2024-12-19,53100
2024-12-20,53000
2024-12-23,53500
2024-12-24,54400
2024-12-26,53600
2024-12-27,53700
2024-12-30,53200
2025-01-02,53400
2025-01-03,54400
2025-01-06,55900
2025-01-07,55400
2025-01-08,57300
2025-01-09,56100
2025-01-10,55300
2025-01-13,54100
2025-01-14,53900
2025-01-15,53700
2025-01-16,54300
2025-01-17,53700
2025-01-20,53400
2025-01-21,53500
2025-01-22,54300
2025-01-23,53700
2025-01-24,53700
2025-01-31,52400
2025-02-03,51000
2025-02-04,52700
2025-02-05,52900
2025-02-06,54000
2025-02-07,53700
2025-02-10,55600
2025-02-11,55700
2025-02-12,55800
2025-02-13,55800
2025-02-14,56000
2025-02-17,56000
2025-02-18,56900
2025-02-19,58700
2025-02-20,58400
2025-02-21,58200
2025-02-24,57300
2025-02-25,57200
2025-02-26,56600
2025-02-27,56300
2025-02-28,54500
2025-03-04,54500
2025-03-05,54000
2025-03-06,54300
2025-03-07,53700
2025-03-10,53700
2025-03-11,53600
2025-03-12,54900
2025-03-13,54700
2025-03-14,54700
2025-03-17,57600
2025-03-18,57600
2025-03-19,58500
2025-03-20,60200
2025-03-21,61700
2025-03-24,60500
2025-03-25,59800
2025-03-26,61400
2025-03-27,61800
2025-03-28,60200
2025-03-31,57800
2025-04-01,58800
2025-04-02,58800
2025-04-03,57600
2025-04-04,56100
2025-04-07,53200
2025-04-08,53500
2025-04-09,53000
2025-04-10,56400
2025-04-11,55200
2025-04-14,56200
2025-04-15,56600
2025-04-16,54700
2025-04-17,55100
2025-04-18,55300
2025-04-21,55400
2025-04-22,55000
2025-04-23,55700
2025-04-24,55700
2025-04-25,55700
2025-04-28,55800
2025-04-29,55800
2025-04-30,55500
2025-05-02,54300
2025-05-07,54600
2025-05-08,54600
2025-05-09,54800
2025-05-12,57600
2025-05-13,56900
2025-05-14,57400
2025-05-15,57300
2025-05-16,56800
2025-05-19,55800
2025-05-20,55900
2025-05-21,55700
2025-05-22,54700
2025-05-23,54200
2025-05-26,54700
2025-05-27,53900
